valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,26083,29.17,23.85,76.69,0
1,26084,28.15,23.60,76.67,0
1,26085,27.11,23.56,76.68,0
1,26086,26.51,23.51,76.67,0
1,26087,26.07,23.54,76.66,0
1,26088,25.87,23.52,76.67,0
1,26089,25.77,23.64,76.68,0
1,26090,25.70,23.76,76.68,0
1,26091,25.70,23.93,76.64,0
1,26092,25.75,24.44,76.68,0
1,26093,25.90,24.73,76.67,0
1,26094,27.14,25.22,76.68,0
1,26095,29.00,25.62,76.65,0
1,26096,30.07,25.94,76.67,0
1,26097,30.20,26.39,76.67,0
1,26098,29.82,26.52,76.67,0
1,26099,28.53,26.70,76.68,0
1,26100,27.81,26.81,76.66,0
1,26101,27.87,26.84,76.68,0
1,26102,28.98,26.88,76.68,0
1,26103,29.61,26.78,76.66,0
1,26104,30.34,26.54,76.67,0
1,26105,29.98,26.37,76.67,0
1,26106,30.56,26.19,76.67,0
1,26107,31.13,25.95,76.67,0
1,26108,31.29,25.62,76.67,0
1,26109,31.45,25.37,76.64,0
1,26110,31.44,25.07,76.67,0
1,26111,31.00,24.75,76.67,0
1,26112,30.22,24.45,76.68,0
1,26113,29.01,24.12,76.68,0
1,26114,28.18,23.87,76.68,0
1,26115,27.21,23.64,76.68,0
1,26116,26.57,23.46,76.65,0
1,26117,26.20,23.38,76.67,0
1,26118,25.92,23.37,76.68,0
1,26119,25.80,23.34,76.67,0
1,26120,25.59,23.43,76.68,0
1,26121,25.45,23.63,76.67,0
1,26122,25.45,23.90,76.67,0
1,26123,25.32,24.29,76.65,0
1,26124,25.23,24.63,76.67,0
1,26125,25.10,25.11,76.67,0
1,26126,25.03,25.54,76.67,0
1,26127,24.93,26.22,76.66,0
1,26128,24.96,26.87,76.67,0
1,26129,25.04,27.31,76.67,0
1,26130,25.20,27.96,76.68,0
1,26131,25.47,28.55,76.66,0
1,26132,25.79,29.06,76.66,0
1,26133,25.72,29.27,76.67,0
1,26134,25.55,29.77,76.69,0
1,26135,25.44,30.13,76.68,0
1,26136,25.59,30.23,76.67,0
1,26137,25.70,30.20,76.68,0
1,26138,25.76,30.06,76.68,0
1,26139,25.79,29.93,76.66,0
1,26140,25.80,29.79,76.69,0
1,26141,25.71,29.70,76.67,0
1,26142,25.63,29.60,76.67,0
1,26143,25.64,29.52,76.67,0
1,26144,25.69,29.42,76.67,0
1,26145,25.59,29.34,76.67,0
1,26146,25.56,29.30,76.67,0
1,26147,25.54,29.25,76.67,0
1,26148,25.55,29.20,76.64,0
1,26149,25.52,29.13,76.66,0
1,26150,25.40,29.14,76.69,0
1,26151,25.28,29.22,76.66,0
1,26152,25.28,29.22,76.67,0
1,26153,25.61,29.20,76.67,0
1,26154,27.30,29.38,76.65,0
1,26155,27.36,29.35,76.68,0
1,26156,27.94,29.26,76.68,0
1,26157,28.64,29.14,76.66,0
1,26158,29.60,29.10,76.68,0
1,26159,29.80,29.04,76.64,0
1,26160,29.68,28.79,76.68,0
1,26161,29.22,28.55,76.68,0
1,26162,29.40,28.27,76.67,0
1,26163,29.18,27.77,76.62,0
1,26164,28.51,27.40,76.67,0
1,26165,28.20,26.95,76.69,0
1,26166,28.48,26.69,76.68,0
1,26167,29.32,26.07,76.66,0
1,26168,28.40,25.44,76.69,0
1,26169,27.52,25.20,76.67,0
1,26170,26.70,24.63,76.66,0
1,26171,26.34,24.70,76.69,0
1,26172,26.04,24.44,76.67,0
1,26173,25.76,24.30,76.67,0
1,26174,25.62,24.39,76.67,0
1,26175,26.44,24.68,76.68,0
1,26176,26.47,24.97,76.68,0
1,26177,26.38,25.27,76.68,0
1,26178,26.36,25.46,76.69,0
1,26179,26.27,25.63,76.65,0
1,26180,26.34,25.88,76.67,0
1,26181,26.37,26.12,76.69,0
1,26182,26.37,26.39,76.67,0
1,26183,26.37,26.67,76.67,0
1,26184,26.21,26.97,76.68,0
1,26185,26.14,27.18,76.66,0
1,26186,26.22,27.45,76.67,0
1,26187,26.69,27.59,76.66,0
1,26188,27.62,27.59,76.65,0
1,26189,26.90,27.37,76.67,0
1,26190,26.62,27.55,76.68,0
1,26191,26.92,27.73,76.66,0
1,26192,27.44,27.79,76.67,0
1,26193,27.48,27.92,76.67,0
1,26194,27.29,27.95,76.67,0
1,26195,27.27,27.88,76.67,0
1,26196,26.96,27.70,76.68,0
1,26197,27.95,27.60,76.67,0
1,26198,27.97,27.18,76.68,0
1,26199,27.50,27.04,76.66,0
1,26200,26.92,26.89,76.68,0
1,26201,27.43,26.78,76.68,0
1,26202,27.71,26.62,76.67,0
1,26203,27.93,26.51,76.68,0
1,26204,28.03,26.52,76.67,0
1,26205,28.25,26.46,76.68,0
1,26206,28.82,26.43,76.65,0
1,26207,29.75,26.30,76.67,0
1,26208,29.47,26.17,76.67,0
1,26209,29.54,26.04,76.67,0
1,26210,30.20,25.87,76.69,0
1,26211,29.62,25.63,76.65,0
1,26212,28.56,25.20,76.67,0
1,26213,27.88,25.07,76.67,0
