Instrument:,RS41,Measurement End Time:,"06/14/2024, 13:54:52",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,215,-100.0,0.0,772.0,136
1,216,-100.0,0.0,771.96,136
1,217,-100.0,0.0,771.9,136
1,218,-100.0,0.0,771.94,136
1,219,-100.0,0.0,771.98,136
1,220,-100.0,0.0,772.02,136
1,221,-100.0,0.0,771.9,136
1,222,-100.0,0.0,771.94,136
1,223,-100.0,0.0,771.9,136
1,224,-100.0,0.0,771.94,136
1,225,-100.0,0.0,772.02,136
1,226,-100.0,0.0,772.0,136
1,227,-100.0,0.0,772.04,136
1,228,-100.0,0.0,771.88,136
1,229,-100.0,0.0,772.02,136
1,230,-100.0,0.0,771.9,136
1,231,-100.0,0.0,771.94,136
1,232,-100.0,0.0,771.94,136
1,233,-100.0,0.0,771.96,136
1,234,-100.0,0.0,772.0,136
1,235,-100.0,0.0,771.94,136
1,236,-100.0,0.0,771.94,136
1,237,-100.0,0.0,772.08,136
1,238,-100.0,0.0,771.96,136
1,239,-100.0,0.0,771.92,136
1,240,-100.0,0.0,771.92,136
1,241,-100.0,0.0,772.0,136
1,242,-100.0,0.0,771.92,136
1,243,-100.0,0.0,772.04,136
1,244,-100.0,0.0,772.04,136
1,245,-100.0,0.0,771.94,136
1,246,-100.0,0.0,771.94,136
1,247,-100.0,0.0,771.96,136
1,248,-100.0,0.0,771.92,136
1,249,-100.0,0.0,771.96,136
1,250,-100.0,0.0,771.94,136
1,251,-100.0,0.0,771.96,136
1,252,-100.0,0.0,771.96,136
1,253,-100.0,0.0,772.0,136
1,254,-100.0,0.0,771.9,136
1,255,-100.0,0.0,771.9,136
1,256,-100.0,0.0,771.9,136
1,257,-100.0,0.0,771.88,136
1,258,-100.0,0.0,771.86,136
1,259,-100.0,0.0,771.94,136
1,260,-100.0,0.0,771.9,136
1,261,-100.0,0.0,771.94,136
1,262,-100.0,0.0,771.98,136
1,263,-100.0,0.0,771.94,136
1,264,-100.0,0.0,771.96,136
1,265,-100.0,0.0,771.86,136
1,266,-100.0,0.0,771.92,136
1,267,-100.0,0.0,771.96,136
1,268,-100.0,0.0,772.0,136
1,269,-100.0,0.0,771.88,136
1,270,-100.0,0.0,771.94,136
1,271,-100.0,0.0,771.9,136
1,272,-100.0,0.0,771.92,136
1,273,-100.0,0.0,772.04,136
1,274,-100.0,0.0,772.0,136
1,275,-100.0,0.0,771.9,136
1,276,-100.0,0.0,771.96,136
1,277,-100.0,0.0,772.02,136
1,278,-100.0,0.0,771.94,136
1,279,-100.0,0.0,771.9,136
1,280,-100.0,0.0,771.98,136
1,281,-100.0,0.0,771.94,136
1,282,-100.0,0.0,771.82,136
1,283,-100.0,0.0,771.92,136
1,284,-100.0,0.0,771.92,136
1,285,-100.0,0.0,771.92,136
1,286,-100.0,0.0,771.96,136
1,287,-100.0,0.0,771.94,136
1,288,-100.0,0.0,771.88,136
1,289,-100.0,0.0,771.96,136
1,290,-100.0,0.0,771.96,136
1,291,-100.0,0.0,771.84,136
1,292,-100.0,0.0,771.9,136
1,293,-100.0,0.0,771.96,136
1,294,-100.0,0.0,771.92,136
1,295,-100.0,0.0,771.96,136
1,296,-100.0,0.0,771.9,136
1,297,-100.0,0.0,771.84,136
1,298,-100.0,0.0,771.94,136
1,299,-100.0,0.0,771.96,136
1,300,-100.0,0.0,771.88,136
1,301,-100.0,0.0,771.9,136
1,302,-100.0,0.0,771.88,136
1,303,-100.0,0.0,771.98,136
1,304,-100.0,0.0,772.02,136
1,305,-100.0,0.0,771.84,136
1,306,-100.0,0.0,771.96,136
1,307,-100.0,0.0,771.94,136
1,308,-100.0,0.0,771.9,136
1,309,-100.0,0.0,771.9,136
1,310,-100.0,0.0,771.94,136
1,311,-100.0,0.0,771.98,136
1,312,-100.0,0.0,771.9,136
1,313,-100.0,0.0,771.96,136
1,314,-100.0,0.0,771.9,136
1,315,-100.0,0.0,771.94,136
1,316,-100.0,0.0,771.92,136
1,317,-100.0,0.0,771.94,136
1,318,-100.0,0.0,771.88,136
1,319,-100.0,0.0,771.96,136
1,320,-100.0,0.0,771.94,136
1,321,-100.0,0.0,772.02,136
1,322,-100.0,0.0,771.92,136
1,323,-100.0,0.0,771.94,136
